MAC;IMU;TIME;INDEX;QUATERNION_0;QUATERNION_1;QUATERNION_2;QUATERNION_3;ACCEL_ADXL355_0;ACCEL_ADXL355_1;ACCEL_ADXL355_2;ACCEL_BMI160_0;ACCEL_BMI160_1;ACCEL_BMI160_2;GYRO_0;GYRO_1;GYRO_2;GYRO_ECC_0;GYRO_ECC_1;GYRO_ECC_2
18:04:ED:C4:75:1A;imu9;1655928838621431;51;0.000000;0.000000;0.000000;0.000000;-0.063125;10.148750;0.255000;-0.245000;10.262500;0.184375;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838636508;52;0.000000;0.000000;0.000000;0.000000;-0.048750;10.162500;0.234375;-0.252500;10.268750;0.203125;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838644102;53;0.000000;0.000000;0.000000;0.000000;-0.030000;10.154375;0.239375;-0.264375;10.288125;0.220625;-0.001065;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838651603;54;0.000000;0.000000;0.000000;0.000000;-0.048125;10.166250;0.279375;-0.236875;10.261250;0.239375;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838666885;55;0.000000;0.000000;0.000000;0.000000;-0.067500;10.167500;0.268750;-0.241875;10.258125;0.213125;-0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838674443;56;0.000000;0.000000;0.000000;0.000000;-0.048750;10.158125;0.256250;-0.238125;10.274375;0.191250;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838681890;57;0.000000;0.000000;0.000000;0.000000;-0.041250;10.150625;0.254375;-0.233750;10.286875;0.223125;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838696906;58;0.000000;0.000000;0.000000;0.000000;-0.038125;10.156875;0.258125;-0.241250;10.271875;0.205625;0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838704342;59;0.000000;0.000000;0.000000;0.000000;-0.045000;10.165625;0.265625;-0.251875;10.265000;0.198125;0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838711815;60;0.000000;0.000000;0.000000;0.000000;-0.057500;10.170000;0.251250;-0.256250;10.274375;0.219375;0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838726644;61;0.000000;0.000000;0.000000;0.000000;-0.037500;10.151250;0.253750;-0.248750;10.276875;0.210625;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838734195;62;0.000000;0.000000;0.000000;0.000000;-0.038750;10.168125;0.253125;-0.243750;10.248750;0.181875;-0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838741700;63;0.000000;0.000000;0.000000;0.000000;-0.055625;10.156875;0.262500;-0.236875;10.267500;0.192500;-0.001065;0.002131;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838756754;64;0.000000;0.000000;0.000000;0.000000;-0.062500;10.155625;0.280625;-0.271250;10.288125;0.182500;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838764246;65;0.000000;0.000000;0.000000;0.000000;-0.056250;10.163750;0.252500;-0.236250;10.256875;0.211875;0.000000;0.001065;0.000000;0;0;0
